"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"0500000US01003","Baldwin County, Alabama","183195","*****"
"0500000US01015","Calhoun County, Alabama","118510","*****"
"0500000US01043","Cullman County, Alabama","80459","*****"
"0500000US01049","DeKalb County, Alabama","71151","*****"
"0500000US01051","Elmore County, Alabama","79549","*****"
"0500000US01055","Etowah County, Alabama","104462","*****"
"0500000US01069","Houston County, Alabama","101888","*****"
"0500000US01073","Jefferson County, Alabama","658555","*****"
"0500000US01077","Lauderdale County, Alabama","92679","*****"
"0500000US01081","Lee County, Alabama","140780","*****"
"0500000US01083","Limestone County, Alabama","83193","*****"
"0500000US01089","Madison County, Alabama","335988","*****"
"0500000US01095","Marshall County, Alabama","93235","*****"
"0500000US01097","Mobile County, Alabama","413277","*****"
"0500000US01101","Montgomery County, Alabama","229844","*****"
"0500000US01103","Morgan County, Alabama","119626","*****"
"0500000US01115","St. Clair County, Alabama","83761","*****"
"0500000US01117","Shelby County, Alabama","195828","*****"
"0500000US01121","Talladega County, Alabama","82110","*****"
"0500000US01125","Tuscaloosa County, Alabama","195036","*****"
"0500000US01127","Walker County, Alabama","66947","*****"
"0500000US21015","Boone County, Kentucky","119290","*****"
"0500000US21029","Bullitt County, Kentucky","74473","*****"
"0500000US21037","Campbell County, Kentucky","90532","*****"
"0500000US21047","Christian County, Kentucky","74179","*****"
"0500000US21059","Daviess County, Kentucky","96762","*****"
"0500000US21067","Fayette County, Kentucky","296765","*****"
"0500000US21093","Hardin County, Kentucky","106933","*****"
"0500000US21111","Jefferson County, Kentucky","742172","*****"
"0500000US21117","Kenton County, Kentucky","159876","*****"
"0500000US21145","McCracken County, Kentucky","65539","*****"
"0500000US21151","Madison County, Kentucky","83157","*****"
"0500000US21195","Pike County, Kentucky","64952","*****"
"0500000US21227","Warren County, Kentucky","114172","*****"
"0500000US29019","Boone County, Missouri","163232","*****"
"0500000US29021","Buchanan County, Missouri","89144","*****"
"0500000US29031","Cape Girardeau County, Missouri","75895","*****"
"0500000US29037","Cass County, Missouri","99723","*****"
